date,page,line,before,after
2017-08-16,367,「13.1.2 検定力」の3行目,研究の定義検定力(power)とよばれる,研究の検定力(power)と呼ばれる
2017-08-18,281,10.3.2.1の2行上,指示されなかったモデルは,支持されなかったモデルは
